,item,type,tax_year,total,< $5k,$5k - 10k,$10k - 15k,$15k - 20k,$20k - 25k,$25k - 30k,$30k - 35k,$35k - 40k,$40k - 45k,$45k - 50k,$50k - 55k,$55k - 60k,$60k - 70k,$70k - 80k,$80k - 90k,$90k - 100k,$100k - 150k,$150k - 250k,> $250k
633,Caregiver amount,$,2009,805876000,15653000,13776000,23632000,39391000,53364000,61737000,66389000,67425000,63531000,56928000,47382000,39863000,63091000,49780000,39648000,26850000,53776000,17200000,6460000
634,Disability amount,$,2009,4209351000,201783000,340403000,669014000,590134000,521778000,404441000,332677000,261524000,205272000,148402000,109967000,83292000,114440000,67507000,42782000,27368000,53039000,22298000,13230000
635,Disability amount transferred from a dependant,$,2009,1803591000,56087000,42909000,63767000,79028000,91871000,106983000,121943000,129649000,127372000,116055000,105643000,92569000,157791000,127429000,100879000,70189000,137337000,51639000,24450000
636,Interest paid on student loans,$,2009,323297000,1976000,1934000,6872000,16044000,22142000,27318000,31002000,32090000,29680000,27169000,24539000,21347000,32814000,20086000,11090000,5880000,8483000,2167000,665000
637,"Tuition, education, and textbook amounts",$,2009,7036001000,678000,2459000,269781000,994064000,1049436000,903484000,755948000,616498000,483763000,380713000,304484000,264619000,354415000,211043000,136871000,89261000,157963000,44898000,15624000
638,"Tuition, education, and textbook amounts transferred from a child",$,2009,3358578000,2075000,2139000,7774000,39555000,78097000,111944000,146771000,176516000,187441000,186554000,181584000,169829000,326984000,318844000,286513000,222631000,520954000,242597000,149776000
639,Amounts transferred from spouse or common-law partner,$,2009,5354088000,647886000,337574000,780260000,836269000,688718000,483444000,354260000,251446000,173172000,132392000,105880000,84581000,131978000,93234000,69213000,45959000,90091000,32841000,14888000
640,Allowable portion of medical expenses,$,2009,9805392000,96489000,141056000,396916000,1292024000,1078026000,997842000,951533000,826932000,725648000,521869000,410990000,328033000,500657000,316828000,214710000,153088000,388182000,233057000,231511000
641,Total tax credits on personal amounts,$,2009,64971738000,4875900000,4035444000,5673846000,6411808000,5143850000,4450752000,4336580000,4058507000,3675440000,3089263000,2655837000,2253707000,3641706000,2735668000,2047681000,1395530000,2792682000,1097885000,599651000
642,Allowable charitable donations and government gifts,$,2009,8232264000,7831000,9157000,43435000,106874000,191591000,247343000,313000000,349727000,366941000,351724000,338228000,316801000,599490000,518216000,450670000,353439000,970951000,707190000,1989655000
643,Eligible cultural and ecological gifts,$,2009,60757000,1478000,66000,99000,162000,241000,486000,387000,607000,649000,676000,791000,890000,1788000,1654000,1192000,1388000,5800000,5363000,37040000
644,Total tax credit on donations and gifts,$,2009,2276029000,1085000,2148000,8358000,26921000,48137000,64540000,82723000,93194000,98302000,94643000,91159000,85532000,162846000,141454000,123459000,96982000,271254000,200438000,582858000
645,Total federal non-refundable tax credits,$,2009,67247767000,4876983000,4037592000,5682204000,6438728000,5191987000,4515292000,4419302000,4151701000,3773742000,3183906000,2746996000,2339239000,3804553000,2877122000,2171140000,1492512000,3063936000,1298323000,1182508000
646,Federal dividend tax credit,$,2009,6972725000,40000,80000,4718000,16842000,38220000,61679000,89064000,122147000,155419000,159960000,176570000,164422000,349785000,316409000,281643000,235630000,881967000,859087000,3059042000
647,Basic federal tax,$,2009,105714037000,10346000,13239000,109598000,551006000,1224019000,1990921000,2874867000,3598640000,4090030000,4271460000,4454011000,4454006000,8839217000,8237303000,7278264000,5725795000,15437545000,10817791000,21735979000
648,Net federal tax,$,2009,104178273000,5915000,12978000,109819000,549893000,1220440000,1983810000,2863214000,3582386000,4071000000,4250360000,4431859000,4430874000,8792016000,8190920000,7234709000,5688344000,15300838000,10674835000,20784064000
649,CPP contributions on self-employment,$,2009,1827464000,3855000,53040000,129190000,144425000,146644000,143204000,136148000,128645000,124552000,104766000,85537000,68937000,107892000,77172000,58447000,43390000,120061000,81334000,70226000
650,Net provincial or territorial tax,$,2009,46861009000,2254000,4594000,36647000,204662000,558709000,947826000,1306856000,1620785000,1904781000,1937234000,1986600000,1950017000,3789820000,3516465000,3232885000,2573371000,7089119000,4892229000,9306154000
651,Total tax payable,$,2009,153931645000,12023000,70611000,275658000,899002000,1925867000,3074984000,4306363000,5332078000,6100633000,6292659000,6505864000,6469679000,12763871000,11883101000,10632183000,8401717000,22846949000,15845752000,30292651000
